id,date,activity,appCat.builtin,appCat.office,call,circumplex.arousal,circumplex.valence,mood,screen
AS14.17,2014-03-21,0.1679744284544573,19292.022,49.206,2.5652173913043477,0.8,1.0,7.4,5228.513999462123
AS14.17,2014-03-22,0.1927695875539844,1991.859,227.00435294117648,2.5652173913043477,0.4,0.8,7.4,5978.720000743861
AS14.17,2014-03-23,0.0700927019004037,2399.932,227.00435294117648,2.5652173913043477,0.8,0.8,7.4,5473.925999403003
AS14.17,2014-03-24,0.1694087382927945,889.64,227.00435294117648,4.0,0.6666666666666666,0.6666666666666666,7.0,11954.341000080114
AS14.17,2014-03-25,0.0620226686501575,129.32,269.322,2.5652173913043477,0.5,1.0,7.5,3498.11699962616
AS14.17,2014-03-26,0.0685370970422067,604.579,227.00435294117648,2.0,0.2,0.8,7.2,7079.621001482016
AS14.17,2014-03-27,0.0906331678707439,663.981,227.00435294117648,2.5652173913043477,0.4,0.6,7.2,5825.132001399993
AS14.17,2014-03-28,0.2510368299862318,376.56,30.121,1.0,0.6,1.0,7.2,9430.216000795355
AS14.17,2014-03-29,0.2092882156846513,591.76,227.00435294117648,8.0,0.6,0.6,6.8,5742.628001689911
AS14.17,2014-03-30,0.0083333333333333,112.634,227.00435294117648,2.5652173913043477,1.0,1.0,8.0,591.5339996814731
AS14.17,2014-03-31,0.0979860517653388,536.623,227.00435294117648,2.5652173913043477,0.5,1.0,7.25,5835.675001382826
AS14.17,2014-04-01,0.146776392180804,1052.414,789.73,4.0,0.6,1.0,7.4,5640.406001091005
AS14.17,2014-04-02,0.0901766647503504,1127.637,166.79399999999998,1.0,0.25,0.75,7.5,7401.755999565121
AS14.17,2014-04-03,0.124203431372549,1421.826,36.243,1.0,0.2,1.0,7.2,7496.890001058576
AS14.17,2014-04-04,0.1598360177404295,266.793,67.059,1.0,-0.6,0.8,7.0,4548.271001815795
AS14.17,2014-04-05,0.1891397978682999,242.997,227.00435294117648,3.0,0.2,1.0,7.0,4252.756000757217
AS14.17,2014-04-06,0.036888059227794,147.799,227.00435294117648,2.5652173913043477,0.25,1.25,7.25,3759.11199951172
AS14.17,2014-04-07,0.0489995128486177,167.162,227.00435294117648,2.5652173913043477,1.0,1.0,7.0,8653.17100048065
AS14.17,2014-04-08,0.0260653951663309,2459.108,905.018,3.0,0.4,1.0,7.0,10594.29399943352
AS14.17,2014-04-09,0.10923143184508,569.142,378.202,2.5652173913043477,0.25,1.0,7.0,6714.672999620439
AS14.17,2014-04-10,0.1007738835024844,570.605,51.252,2.5652173913043477,1.0,1.0,6.75,8127.94899988175
AS14.17,2014-04-11,0.2073736502423655,1072.689,227.00435294117648,2.5652173913043477,0.4,1.0,7.2,3660.4830000400552
AS14.17,2014-04-12,0.1659532018869328,1124.295,227.00435294117648,2.5652173913043477,0.4,1.0,7.2,4691.583999395372
AS14.17,2014-04-13,0.0756640189523358,606.384,227.00435294117648,2.5652173913043477,-0.2,1.0,7.2,7935.848999738693
AS14.17,2014-04-14,0.0851143385464617,459.03,148.85,1.0,0.8,1.0,7.0,1618.4909994602208
AS14.17,2014-04-15,0.1022362847088481,1072.73,13.126,2.5652173913043477,0.4,1.0,7.0,8146.620999574654
AS14.17,2014-04-16,0.111374178398409,685.23,55.257000000000005,2.0,0.8,1.0,7.2,6143.128002643583
AS14.17,2014-04-17,0.116150874870911,366.358,227.00435294117648,2.5652173913043477,0.4,1.0,7.0,4463.335999727246
AS14.17,2014-04-18,0.1885545199849485,147.635,227.00435294117648,1.0,1.0,1.0,7.0,3577.131999731066
AS14.17,2014-04-19,0.1672393349761812,52.388000000000005,227.00435294117648,2.5652173913043477,1.0,1.0,7.0,1341.7960014343253
AS14.17,2014-04-20,0.1211652602367241,415.239,256.297,2.5652173913043477,0.4,1.0,7.2,9982.987000226967
AS14.17,2014-04-21,0.0881963953222814,126.5,227.00435294117648,1.0,0.4,1.0,7.4,2261.7730002403264
AS14.17,2014-04-22,0.0506214985994397,384.681,227.00435294117648,2.5652173913043477,0.6,1.0,6.6,8438.16700053215
AS14.17,2014-04-23,0.0718359133743876,681.899,31.128,1.0,1.0,1.0,7.25,9992.209000825887
AS14.17,2014-04-24,0.1098177623421557,15122.509,227.00435294117648,1.0,1.0,1.0,7.2,8335.326000928884
AS14.17,2014-04-25,0.2036609797910812,845.952,352.317,4.0,0.4,1.0,7.2,3992.0679993629456
AS14.17,2014-04-26,0.1868376213455872,716.086,227.00435294117648,2.5652173913043477,1.0,1.0,8.0,1809.505997896195
AS14.17,2014-04-27,0.1088148241390219,13619.168,227.00435294117648,2.5652173913043477,1.0,1.0,7.2,4989.777999639509
AS14.17,2014-04-28,0.0973874543644081,333.772,259.152,2.5652173913043477,0.75,0.3333333333333333,6.75,5219.577999353408
AS14.17,2014-04-29,0.1104306182710914,459.558,227.00435294117648,2.5652173913043477,0.8,1.0,7.0,5399.9129984378815
AS14.17,2014-04-30,0.1246331685366899,11485.857,227.00435294117648,2.5652173913043477,1.0,1.0,7.0,3284.8539996147174
AS14.17,2014-05-01,0.0823465250619925,270.614,227.00435294117648,2.5652173913043477,1.0,1.0,8.0,6613.078999757765
AS14.17,2014-05-02,0.258464889331664,5902.652,227.00435294117648,1.0,1.0,1.0,7.0,2847.155001163481
AS14.17,2014-05-03,0.3363385812828156,633.394,227.00435294117648,7.0,-1.0,1.0,7.166666666666667,3205.657999992369
AS14.17,2014-05-05,0.1208251967708511,85.5,227.00435294117648,2.5652173913043477,1.0,1.0,7.5,2093.750999450684
AS14.19,2014-03-21,0.109655017921147,1992.576,0.0,3.0,0.6666666666666666,0.6666666666666666,4.666666666666667,6933.05800008774
AS14.19,2014-03-22,0.0865792686124129,3243.811,0.0,7.0,-1.4,0.4,6.6,4756.049000501637
AS14.19,2014-03-23,0.0294604386995691,572.4590000000001,0.0,4.0,-0.8,0.8,7.0,996.3209986686708
AS14.19,2014-03-24,0.1138894460613641,384.557,0.0,5.0,-0.4,0.4,6.0,2143.2990009784703
AS14.19,2014-03-25,0.1132516067235199,1052.341,0.0,12.0,-1.25,0.25,5.5,4789.015998840333
AS14.19,2014-03-26,0.1089148261269654,911.113,0.0,6.0,-0.6,0.4,6.0,4413.39799952507
AS14.19,2014-03-27,0.1322046084800736,880.167,0.0,7.0,-0.3555555555555556,0.6,6.6,3595.464998483658
AS14.19,2014-03-28,0.1488722650214678,851.371,0.0,8.0,-0.6,1.2,6.6,2731.158999204635
